JobId,Median of DurationInMin
02f6bb79-a9b2-454d-be92-19bc1b22bc8a,5
02fc17f9-5bbc-41db-99c0-f829343a6e15,62
02fde7f8-cbd2-4b9e-9100-e46261a15cb6,19
02fe6063-7217-40c1-835b-d0ccb59d5a14,1
03005783-da05-4587-bb8f-4db983093600,44
03009e92-3543-4752-828b-79dec34fc860,1
0306c288-6007-4d77-a550-4a09e8edcc4d,1
03072641-6dfb-4b3c-b6df-13a6607b084f,47
0307eba5-b215-47ec-8b0b-8dbab1faccb9,51
030839c8-2aa1-47c5-8719-a4408dba7faa,1
030c79a3-ed6d-4282-98c3-66146b5615ed,51
030ee608-1f82-49ea-b115-af481faf2548,3
0312bb10-0fa7-4391-991d-0dded26af1d8,51
03142d3b-a7e0-45bf-948f-6f2ca75f95b8,69
0315a8a9-10c2-4baa-8510-6e7619f68f9b,61
03160410-ae21-4465-862c-bb680f0560d2,1
031a0049-359d-4e3e-b2d7-ef224d3e3ead,5
031a5209-0f00-43e3-9f58-b934aea6e9a3,1
031f1384-92bb-496f-b84e-0daf94a9d462,1
03235617-8e59-47d3-8c02-c591d185d36a,3
03245c06-7ad2-4a1c-aab8-7dcaf98ee1f9,1
0325e21d-a95b-4364-8372-637c82f62ab7,3
03277cae-a516-4d9a-b8e6-da7ddbaaba53,6
0327f67b-e259-4432-9ba1-6c2ac3f2312c,1
0329cf5b-f211-42e3-9ceb-3fd70d60b8e8,31
032a7559-2567-4059-88df-e5d094dec51c,4
032cb487-9520-405e-b1da-f4a9f16ab5f0,1
032cdc17-4433-49d5-a0e0-cbbe6ab634b2,44
0334e267-4586-4428-9609-0ee92e65cc10,1
03389b0c-2ce9-427a-9cf3-a4d9b214dcdc,17
0339c755-b6e6-4b0d-a238-8def114e8a2c,51
033a9da5-3f72-4fe1-b9d7-c00853e1dc46,51
033af9c4-c135-4212-b287-be213d8d36be,3
03434721-6033-43c5-8080-9c02b2c58370,4
03438883-f4b7-4eed-896b-43fdab271189,51
0344366b-5f9e-4b76-b32d-cd1b20779b4e,5
03462c68-b121-4a92-8eea-8cf164f69833,1
0346d305-4e00-4e68-8b0a-da05d49713b3,55
0347588d-0169-4473-96c3-fa18c40ae36c,3
03475d45-6570-41c6-9811-2b498e448eaa,55
034c8eec-b888-4887-89c4-209a299aa78b,17
0352de9a-0ec3-4294-a72e-3c46f9785cdd,36
03532c33-c0fd-4786-911c-c579b822715d,106
03569974-cb3e-48f8-b1b0-3ef35231107f,1
0357b784-bd63-4ec5-85d5-f811b9649ce9,38
0357c65e-7692-4448-a659-4ae59f3f4241,51
035940cd-9184-4521-99ac-b1bf7d16e4f7,6
035c6207-11f6-4c51-9a91-2c2bbf6f03e5,1
0360417f-c014-4665-bd04-125ad95da09c,16
0363cc64-c148-4d3b-8a80-2331e52e24aa,1
0364e797-bc4e-44e5-b9dd-e90e100517e9,5
036624f2-a498-4e85-8272-16d4737a7830,5
036b833b-7054-414c-8e5b-30b6b56d9ecf,51
